"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.409161493E1,-7.606783390E0,1.268794179E0,-1.054636598E0
4.410161493E1,-7.540382385E0,1.345962763E0,-1.074975610E0
4.411161493E1,-7.249056339E0,1.339382529E0,-1.091127157E0
4.412161493E1,-7.113263607E0,1.177866936E0,-1.009172916E0
4.413161493E1,-6.741777897E0,8.033902049E-1,-1.008574724E0
4.414161493E1,-6.545566559E0,7.046862841E-1,-1.147358418E0
4.415161493E1,-6.382854462E0,6.000002623E-1,-1.386042476E0
4.416161493E1,-6.236892223E0,3.050848842E-1,-1.403390527E0
4.417161493E1,-6.373282909E0,3.050848842E-2,-1.486541033E0
4.418161493E1,-6.523432732E0,-2.721835673E-1,-1.488335729E0
4.419161493E1,-6.824330330E0,-7.633104324E-1,-1.406381488E0
4.420161493E1,-7.108478069E0,-1.502692580E0,-1.384846091E0
4.421161493E1,-7.201797962E0,-1.843669891E0,-1.533799291E0
4.422161493E1,-7.159923553E0,-1.829312921E0,-1.758724689E0
4.423161493E1,-6.869793892E0,-1.688136339E0,-1.813759565E0
4.424161493E1,-6.590431690E0,-1.537986755E0,-2.016551256E0
4.425161493E1,-6.429514408E0,-1.455434322E0,-2.190030813E0
4.426161493E1,-6.427719593E0,-1.322034478E0,-2.424527645E0
4.427161493E1,-6.705287457E0,-1.454836130E0,-2.751147747E0
4.428161493E1,-7.253243446E0,-8.386843204E-1,-3.096312523E0
4.429161493E1,-7.677969456E0,-6.813562512E-1,-3.514458179E0
4.430161493E1,-8.029714584E0,-6.287141442E-1,-3.994219303E0
4.431161493E1,-8.306683540E0,-7.076773047E-1,-4.068396568E0
4.432161493E1,-8.617751122E0,-5.814558864E-1,-3.967299938E0
4.433161493E1,-9.549755096E0,-4.797609448E-1,-3.733999729E0
4.434161493E1,-1.067976570E1,2.321037948E-1,-3.751347780E0
4.435161493E1,-1.199522018E1,2.769692242E-1,-3.753740549E0
4.436161493E1,-1.277468204E1,2.111666054E-1,-4.006183147E0
4.437161493E1,-1.317129230E1,-4.725824669E-2,-4.435695171E0
4.438161493E1,-1.297208977E1,-7.166503668E-1,-4.975276470E0
4.439161493E1,-1.202931786E1,-1.690529227E0,-5.665007591E0
4.440161493E1,-1.131924725E1,-2.018944025E0,-5.771488190E0
4.441161493E1,-1.135214901E1,-1.372283816E0,-5.404190063E0
4.442161493E1,-1.242114258E1,-4.677968323E-1,-5.237888813E0
4.443161493E1,-1.356251907E1,3.828516230E-2,-5.058426857E0
4.444161493E1,-1.530808258E1,4.965107143E-2,-3.393620729E0
